date,value
2016-12-15,0.431993088
2016-12-16,0.392806635
2016-12-17,0.390328021
2016-12-18,0.429687146
2016-12-19,0.441039702
2016-12-20,0.523005214
2016-12-21,0.532023766
2016-12-22,0.477063108
2016-12-23,0.348045219
2016-12-24,0.302587977
2016-12-25,0.272811404
2016-12-26,0.35227025
2016-12-27,0.351503933
2016-12-28,0.357250469
2016-12-29,0.399994831
2016-12-30,0.43001175
2016-12-31,0.410408348
2017-01-01,0.44877856
2017-01-02,0.4835065
2017-01-03,0.434469444
2017-01-04,0.454523365
2017-01-05,0.459333496
2017-01-06,0.526781802
2017-01-07,0.483921686
2017-01-08,0.541734807
2017-01-09,0.565692032
2017-01-10,0.564758292
2017-01-11,0.51547221
2017-01-12,0.488877498
2017-01-13,0.429032342
2017-01-14,0.42721199
2017-01-15,0.534159059
2017-01-16,0.537356613
2017-01-17,0.548951107
2017-01-18,0.56446927
2017-01-19,0.567268633
2017-01-20,0.556638965
2017-01-21,0.522671388
2017-01-22,0.578694446
2017-01-23,0.607987172
2017-01-24,0.580576402
2017-01-25,0.541839692
2017-01-26,0.530997608
2017-01-27,0.511152135
2017-01-28,0.501672909
2017-01-29,0.573660992
2017-01-30,0.559382106
2017-01-31,0.540066979
2017-02-01,0.509630314
2017-02-02,0.476259485
2017-02-03,0.40734346
2017-02-04,0.349209833
2017-02-05,0.416057255
2017-02-06,0.450114074
2017-02-07,0.458900107
2017-02-08,0.463461103
2017-02-09,0.485797456
